epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22882.8,1.56527,1.76317,0.01317,0.48465,0.55602,0.5271,0.35347,1.39558,1.51843,0.01082,0.0012862,0.0012862,0.0012862
43,23436.6,1.55699,1.76696,0.01297,0.49192,0.5507,0.53202,0.35701,1.39267,1.51644,0.0108,0.0012562,0.0012562,0.0012562
44,23992.2,1.55143,1.76841,0.01299,0.51265,0.53894,0.5324,0.35765,1.3925,1.5144,0.01078,0.00122596,0.00122596,0.00122596
45,24546.8,1.54789,1.74701,0.01301,0.48988,0.54788,0.5334,0.35724,1.39154,1.51123,0.01077,0.00119551,0.00119551,0.00119551
46,25102,1.55423,1.74744,0.01294,0.49779,0.5457,0.53445,0.35924,1.39182,1.5079,0.01076,0.00116487,0.00116487,0.00116487
47,25659.5,1.55261,1.7456,0.01284,0.49643,0.54612,0.53515,0.36004,1.39157,1.50384,0.01076,0.00113408,0.00113408,0.00113408
48,26212.4,1.53729,1.71394,0.01289,0.48812,0.54988,0.53504,0.36109,1.39019,1.50314,0.01075,0.00110317,0.00110317,0.00110317
49,26767,1.52863,1.70217,0.01305,0.48811,0.55622,0.53634,0.3618,1.38823,1.50148,0.01074,0.00107216,0.00107216,0.00107216
50,27321.4,1.5337,1.70181,0.01301,0.50829,0.56101,0.5391,0.36205,1.38658,1.49952,0.01072,0.0010411,0.0010411,0.0010411
51,27876.7,1.52054,1.68344,0.0127,0.51205,0.56088,0.54109,0.36484,1.38344,1.49982,0.01069,0.00101,0.00101,0.00101
52,28433.9,1.53116,1.69754,0.01276,0.50703,0.55873,0.54119,0.36419,1.38224,1.49698,0.01068,0.000978903,0.000978903,0.000978903
53,28992.1,1.52003,1.68492,0.0127,0.50826,0.55694,0.54118,0.36641,1.37854,1.49841,0.01063,0.000947837,0.000947837,0.000947837
54,29549.3,1.51213,1.67278,0.01256,0.50482,0.5594,0.54171,0.36672,1.37819,1.49578,0.01063,0.000916833,0.000916833,0.000916833
55,30102,1.50851,1.66055,0.01236,0.51081,0.56006,0.54276,0.36805,1.3771,1.49384,0.01063,0.00088592,0.00088592,0.00088592
