epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,29601.8,1.41776,1.556,0.00832,0.66016,0.502,0.4998,0.35341,1.51591,1.68185,0.00484,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,30575.2,1.41774,1.54247,0.00829,0.65128,0.50171,0.50219,0.35544,1.51336,1.68228,0.00483,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
32,31551.7,1.41219,1.54571,0.0082,0.65909,0.49943,0.50211,0.35533,1.51266,1.6826,0.00482,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
33,32525.5,1.4126,1.53673,0.00823,0.65527,0.49985,0.5043,0.35485,1.51341,1.68209,0.00482,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
34,33510,1.40901,1.53689,0.00813,0.6499,0.50553,0.50474,0.35534,1.51616,1.68166,0.00484,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
35,34518.6,1.40936,1.52883,0.00814,0.66063,0.50297,0.51119,0.3576,1.5153,1.68343,0.00485,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
36,35546.7,1.40094,1.5157,0.00817,0.66605,0.49554,0.50777,0.35671,1.51519,1.68681,0.00486,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
37,36550.9,1.39731,1.51134,0.00815,0.6679,0.49842,0.50429,0.35512,1.51471,1.68846,0.00487,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
38,37531,1.39486,1.51795,0.00801,0.66204,0.49739,0.50404,0.35356,1.51471,1.68947,0.0049,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
39,38501.7,1.39275,1.51724,0.00801,0.66762,0.49514,0.50186,0.35209,1.516,1.68936,0.00492,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
40,39481.8,1.38945,1.50174,0.00792,0.66653,0.49497,0.49988,0.35002,1.51287,1.69312,0.00491,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
41,40464.2,1.38174,1.49256,0.00793,0.66469,0.49395,0.50239,0.35257,1.51173,1.69268,0.0049,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
42,41437,1.38388,1.49869,0.00792,0.66465,0.49555,0.50244,0.35303,1.50897,1.69343,0.00487,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
43,42414.9,1.38378,1.49395,0.00782,0.66267,0.49813,0.50413,0.35204,1.50702,1.6922,0.00484,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
44,43393.4,1.38131,1.48497,0.00779,0.66212,0.50179,0.50658,0.35467,1.5084,1.68582,0.00485,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
45,44366.7,1.37897,1.47368,0.00783,0.67077,0.49854,0.50698,0.35446,1.50813,1.68129,0.00485,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
46,45336.2,1.37542,1.47997,0.00781,0.6767,0.49845,0.50763,0.35498,1.50871,1.67658,0.00485,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
47,46305.5,1.37132,1.4653,0.00782,0.68202,0.49942,0.51146,0.35538,1.50808,1.67688,0.00486,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
48,47273.9,1.36908,1.46193,0.00778,0.66899,0.5033,0.51395,0.35695,1.51009,1.67529,0.0049,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
49,48242.6,1.35809,1.45139,0.00764,0.67207,0.5034,0.51664,0.35853,1.51024,1.67483,0.00492,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
50,49220.1,1.36069,1.44886,0.00764,0.65816,0.51193,0.51369,0.35867,1.51037,1.67549,0.00495,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
